trade_data_id,address,area,build-year,day,floor,main-num,name,price,sub-num,trade-type,year-and-month
255401,강원도 속초시 동해대로 4284,84.9976,2011,2,15,1029,남광하우스토리,31000,0,직거래,202212
255402,강원도 속초시 미시령로3337번길 10,39.8354,2000,20,5,783,대명늘푸른,9850,0,중개거래,202212
255403,강원도 속초시 미시령로3359번길 15,60,1997,1,10,781,동부,16150,1,중개거래,202212
255404,강원도 속초시 미시령로3359번길 15,60,1997,15,8,781,동부,17000,1,중개거래,202212
255405,강원도 속초시 만천4길 1,84.93,1991,1,14,767,럭키설악1,16300,224,직거래,202212
255406,강원도 속초시 만천4길 1,76.39,1991,14,3,767,럭키설악1,12000,224,중개거래,202212
255407,강원도 속초시 만천4길 1,84.93,1991,18,9,767,럭키설악1,17500,224,중개거래,202212
255408,강원도 속초시 만천4길 1,84.93,1991,19,10,767,럭키설악1,16500,224,직거래,202212
255409,강원도 속초시 미시령로 3409,128.62,1992,15,4,620,럭키설악2,23000,13,중개거래,202212
255410,강원도 속초시 미시령로3337번길 20,118.0531,2006,26,11,1027,명지미래힐,31500,0,중개거래,202212
255411,강원도 속초시 밤골3길 27,43.26,1995,20,2,924,삼호,8500,0,중개거래,202212
255412,강원도 속초시 번영로43번길 52,39.69,1990,14,3,898,주공2,16500,0,중개거래,202212
255413,강원도 속초시 먹거리길 17,41.85,1993,1,11,961,주공3,9500,1,직거래,202212
255414,강원도 속초시 먹거리길 17,41.85,1993,8,9,961,주공3,10500,1,중개거래,202212
255415,강원도 속초시 수복로 174,45.2346,2011,10,17,630,생모리츠,21500,0,중개거래,202212
255416,강원도 속초시 수복로 174,65.9236,2011,29,7,630,생모리츠,26000,0,중개거래,202212
255417,강원도 속초시 번영로67번길 25,59.895,1992,2,5,625,속초대명2,12700,0,중개거래,202212
255418,강원도 속초시 번영로129번길 22,114.7859,2017,14,12,596,e편한세상영랑호,57000,0,중개거래,202212
255419,강원도 속초시 영랑호반길 103,59.93,1997,19,13,512,대명영랑호,16500,0,중개거래,202212
255420,강원도 속초시 온정로1길 11-8,84.8533,2009,14,14,1568,대광로제비앙,23000,0,직거래,202212
255421,강원도 속초시 소평로 162,166.535,1996,5,15,1499,부영3,41000,0,중개거래,202212
255422,강원도 속초시 소평로 162,59.905,1996,14,11,1499,부영3,19500,0,중개거래,202212
255423,강원도 속초시 소평로 162,84.88,1996,14,15,1499,부영3,19500,0,중개거래,202212
255424,강원도 속초시 청대로204번길 40,40,1995,7,3,1501,부영5,10000,0,중개거래,202212
255425,강원도 속초시 청대로204번길 40,50,1995,7,12,1501,부영5,14700,0,중개거래,202212
255426,강원도 속초시 조양로142번길 13,50,1995,15,2,1505,부영9,13000,0,중개거래,202212
255427,강원도 속초시 청대로 22-7,59.76,2001,1,4,1294,성호,13000,23,중개거래,202212
255428,강원도 속초시 청대로 22-7,59.76,2001,14,11,1294,성호,13500,23,중개거래,202212
255429,강원도 속초시 청대로 22-7,59.76,2001,29,13,1294,성호,14800,23,중개거래,202212
255430,강원도 속초시 청대로 40,84.9762,2019,1,7,1572,속초KCC스위첸,45900,0,중개거래,202212
255431,강원도 속초시 청대로 40,84.9762,2019,1,2,1572,속초KCC스위첸,43550,0,중개거래,202212
255432,강원도 속초시 청대로 40,84.9762,2019,1,12,1572,속초KCC스위첸,46400,0,중개거래,202212
255433,강원도 속초시 청대로 40,84.9762,2019,1,3,1572,속초KCC스위첸,44300,0,중개거래,202212
255434,강원도 속초시 청대로 40,84.9762,2019,1,18,1572,속초KCC스위첸,46400,0,중개거래,202212
255435,강원도 속초시 청대로 40,84.9762,2019,1,13,1572,속초KCC스위첸,46400,0,중개거래,202212
255436,강원도 속초시 청대로 40,84.9762,2019,1,9,1572,속초KCC스위첸,46000,0,중개거래,202212
255437,강원도 속초시 청대로 40,84.9762,2019,1,7,1572,속초KCC스위첸,45900,0,중개거래,202212
255438,강원도 속초시 청대로 40,59.9027,2019,6,17,1572,속초KCC스위첸,31000,0,중개거래,202212
255439,강원도 속초시 청대로 40,74.5213,2019,21,5,1572,속초KCC스위첸,36800,0,중개거래,202212
255440,강원도 속초시 동해대로 3958,96.25,2020,7,29,1459,속초서희스타힐스더베이,68000,0,중개거래,202212
255441,강원도 속초시 조양로 181,84.9974,2020,13,28,1586,속초자이,53500,0,중개거래,202212
255442,강원도 속초시 온정로1길 30,59.7891,2015,4,10,1569,속초조양양우내안애아파트,28000,0,중개거래,202212
255443,강원도 속초시 청대마을길 20,120.09,2006,1,12,1563,속초조양코아루,37000,0,직거래,202212
255444,강원도 속초시 논산길 17,84.288,2020,8,10,1585,조양동휴먼빌아파트,42000,0,중개거래,202212
255445,강원도 속초시 청대로 210,84.98,2019,4,9,1582,효성해링턴플레이스,40500,0,중개거래,202212
255446,강원도 속초시 번영로 40,59.675,1983,27,1,632,금강,8000,30,중개거래,202212
255447,강원도 양구군 양구읍 양록길23번길 11,59.4,1998,3,9,510,경림,11000,0,중개거래,202212
255448,강원도 양구군 양구읍 양록길23번길 11,37.755,1998,8,15,510,경림,7100,0,직거래,202212
255449,강원도 양구군 양구읍 양록길23번길 11,37.755,1998,22,11,510,경림,6950,0,직거래,202212
255450,강원도 양구군 양구읍 박수근로313번길 17,84.9,2010,13,9,436,양구석미모닝파크,16800,0,중개거래,202212
255451,강원도 양양군 강현면 정암1길 13-24,50.5365,2004,13,6,162,썬라이즈빌,27800,6,직거래,202212
255452,강원도 양양군 손양면 손중로 211-8,39.6,1998,1,15,303,삼호,7400,0,중개거래,202212
255453,강원도 양양군 양양읍 거마천로 300,25.45,1998,8,1,31,설악실크벨리,3350,1,중개거래,202212
255454,강원도 양양군 양양읍 거마천로 300,25.45,1998,8,4,31,설악실크벨리,3400,1,중개거래,202212
255455,강원도 양양군 양양읍 내곡길 18,84.6,2007,12,15,61,하이펠리스,18000,0,중개거래,202212
255456,강원도 양양군 양양읍 남대천로 99-14,59.449,2002,9,7,449,명지푸르미,10500,1,직거래,202212
255457,강원도 양양군 양양읍 남대천로 99-14,31.5408,2002,13,10,449,명지푸르미,6250,1,중개거래,202212
255458,강원도 양양군 양양읍 남대천로 99-14,31.5408,2002,15,10,449,명지푸르미,6250,1,중개거래,202212
255459,강원도 양양군 양양읍 청곡길 12,41.57,1995,13,5,17,유화,8900,0,중개거래,202212
255460,강원도 양양군 현남면 동해대로 611-7,38.88,1998,5,6,141,대목바다마을,12500,0,중개거래,202212
255461,강원도 양양군 현북면 동해대로 1269-17,30.2226,2003,2,12,145,TM힐,11000,0,직거래,202212
255462,강원도 양양군 현북면 동해대로 1611-7,48.3066,2001,9,12,176,심미,18000,1,중개거래,202212
255463,강원도 영월군 영월읍 청령포로 213,39.9,1997,10,5,482,신아,3700,1,직거래,202212
255464,강원도 영월군 영월읍 청령포로 213,27.72,1997,16,4,482,신아,2470,1,직거래,202212
255465,강원도 영월군 영월읍 단종로 94,60,1990,21,4,1049,동산,5000,96,중개거래,202212
255466,강원도 영월군 영월읍 단종로 88,48.81,1990,12,6,1049,삼호,2900,16,직거래,202212
255467,강원도 영월군 영월읍 단종로 88,48.81,1990,29,1,1049,삼호,3700,16,직거래,202212
255468,강원도 영월군 영월읍 봉래산로 114,84.3681,2021,25,11,1137,영월코아루에듀타운,25000,0,중개거래,202212
255469,강원도 영월군 영월읍 제방안길 64,84.99,2013,15,10,53,레스트힐,24500,0,직거래,202212
255470,강원도 영월군 영월읍 하송로 103-4,39.99,1992,4,3,389,주공2,5400,0,중개거래,202212
255471,강원도 영월군 영월읍 하송로 103-4,46.98,1992,7,4,389,주공2,5500,0,중개거래,202212
255472,강원도 영월군 영월읍 하송로 103-4,39.99,1992,12,4,389,주공2,4800,0,중개거래,202212
255473,강원도 영월군 영월읍 하송로 123-4,49.96,1998,29,6,403,주공3,7700,0,중개거래,202212
255474,강원도 영월군 영월읍 중앙로 4,38.57,1983,24,2,189,하송주공1차,6350,2,중개거래,202212
255475,강원도 영월군 영월읍 중앙로 4,38.57,1983,25,4,189,하송주공1차,4500,2,중개거래,202212
255476,강원도 원주시 치악로 1777,75.947,1992,21,8,118,덕산,11000,26,중개거래,202212
255477,강원도 원주시 강변로 353,47.07,1988,27,1,203,세경,7500,70,중개거래,202212
255478,강원도 원주시 단관초교길 9,59.85,2002,6,13,1713,청솔6차,12800,1,직거래,202212
255479,강원도 원주시 단관초교길 9,59.85,2002,16,7,1713,청솔6차,12800,1,중개거래,202212
255480,강원도 원주시 나비허리길 188,59.85,2002,17,12,1713,청솔8차,12400,2,중개거래,202212
255481,강원도 원주시 시청로 496,84.96,2005,9,14,1774,코아루,23000,4,중개거래,202212
255482,강원도 원주시 시청로 496,84.96,2005,17,5,1774,코아루,23800,4,중개거래,202212
255483,강원도 원주시 시청로 494,84.976,2004,4,4,1774,현진에버빌4차,21000,2,중개거래,202212
255484,강원도 원주시 백간길 53,84.91,1993,22,12,807,단계롯데,17000,0,중개거래,202212
255485,강원도 원주시 봉화로 74,84.75,1993,20,3,808,단계삼익,19300,0,직거래,202212
255486,강원도 원주시 원문로 175,49.8,1994,9,14,806,단계은행,8900,0,중개거래,202212
255487,강원도 원주시 모란1길 51,84.93,2007,2,2,1166,단계이안1단지,20000,0,중개거래,202212
255488,강원도 원주시 모란1길 51,100.52,2007,9,12,1166,단계이안1단지,27000,0,중개거래,202212
255489,강원도 원주시 서원대로 205,54.12,1984,13,4,792,단계주공,12400,0,중개거래,202212
255490,강원도 원주시 서원대로 205,65.2,1984,14,1,792,단계주공,16000,0,중개거래,202212
255491,강원도 원주시 서원대로 205,65.2,1984,15,2,792,단계주공,17500,0,중개거래,202212
255492,강원도 원주시 원문로 158,43.932,1990,22,5,111,동보렉스3,5800,4,중개거래,202212
255493,강원도 원주시 백간길 80,95.27,1993,2,2,809,벽산,20000,0,중개거래,202212
255494,강원도 원주시 봉화로 67,84.98,2006,19,13,1095,봉화산e-편한세상,31200,1,중개거래,202212
255495,강원도 원주시 서원대로 35,84.9905,2020,3,10,1221,원주봉화산벨라시티3차아파트,34000,0,중개거래,202212
255496,강원도 원주시 서원대로 35,59.9194,2020,9,9,1221,원주봉화산벨라시티3차아파트,25000,0,중개거래,202212
255497,강원도 원주시 로아노크로 15,84.59,1994,1,6,880,코오롱,16000,0,중개거래,202212
255498,강원도 원주시 단구로 250,59.9602,2017,6,11,1451,단구동한신더휴,27500,0,중개거래,202212
255499,강원도 원주시 단구로 250,74.9321,2017,9,20,1451,단구동한신더휴,32400,0,중개거래,202212
255500,강원도 원주시 단구로 250,59.9602,2017,17,14,1451,단구동한신더휴,26000,0,중개거래,202212
255501,강원도 원주시 남원로 524,59.901,1997,22,14,1517,대림,15500,1,중개거래,202212
255502,강원도 원주시 단구로 418,59.55,1998,2,14,1589,성일,13800,4,중개거래,202212
255503,강원도 원주시 단구로 418,59.55,1998,2,9,1589,성일,15800,4,중개거래,202212
255504,강원도 원주시 단구로 418,38.685,1998,5,14,1589,성일,8700,4,중개거래,202212
255505,강원도 원주시 단구로 418,59.55,1998,23,11,1589,성일,12900,4,중개거래,202212
255506,강원도 원주시 오성마을길 63-1,84.9024,2020,5,9,1721,원주단구내안애카운티에듀파크1단지,31000,0,중개거래,202212
255507,강원도 원주시 오성마을길 63-1,84.9317,2020,10,19,1721,원주단구내안애카운티에듀파크1단지,31000,0,중개거래,202212
255508,강원도 원주시 오성마을길 63-25,84.9317,2020,17,16,1721,원주단구내안애카운티에듀파크1단지,29600,0,중개거래,202212
255509,강원도 원주시 오성마을길 63-25,84.9317,2020,23,4,1721,원주단구내안애카운티에듀파크1단지,28000,0,중개거래,202212
255510,강원도 원주시 오성마을길 63-1,84.9317,2020,14,17,1711,원주단구내안애카운티에듀파크2단지,30000,0,중개거래,202212
255511,강원도 원주시 오성마을길 63-30,84.9317,2020,27,5,1711,원주단구내안애카운티에듀파크2단지,30000,0,중개거래,202212
255512,강원도 원주시 치악로 1634,75.84,1995,17,17,186,원흥4,13500,2,중개거래,202212
255513,강원도 원주시 단관공원길 111,84.9829,2008,4,3,1702,중앙하이츠아파트,21800,0,중개거래,202212
255514,강원도 원주시 늘품로 6,58.65,2000,9,8,1589,청솔1차(1589-2),10000,2,직거래,202212
255515,강원도 원주시 단구로 408,58.65,2000,2,12,1588,청솔2차,13000,4,중개거래,202212
255516,강원도 원주시 단구로 408,58.65,2000,13,11,1588,청솔2차,10450,4,중개거래,202212
255517,강원도 원주시 단구로 408,58.65,2000,16,14,1588,청솔2차,10500,4,중개거래,202212
255518,강원도 원주시 단구로 408,58.65,2000,23,7,1588,청솔2차,14000,4,직거래,202212
255519,강원도 원주시 단구로 406,58.65,2000,13,14,1679,청솔3차,10500,0,직거래,202212
255520,강원도 원주시 단구로 416,58.65,2001,17,4,1684,청솔4차,10500,1,중개거래,202212
255521,강원도 원주시 남원로 526,59.91,1997,1,11,1517,한일,15500,2,중개거래,202212
255522,강원도 원주시 남원로 441,84.79,1997,14,4,847,구곡청구2단지,20000,3,중개거래,202212
255523,강원도 원주시 남원로527번길 61,39.63,1988,1,5,376,단구1단지,8100,0,직거래,202212
255524,강원도 원주시 남원로527번길 61,47.01,1988,12,5,376,단구1단지,12000,0,중개거래,202212
255525,강원도 원주시 남원로527번길 23,46.68,1990,7,5,480,단구2단지,12000,0,중개거래,202212
255526,강원도 원주시 한지공원길 25-2,59.99,2022,27,16,857,더샵원주센트럴파크3단지,26700,0,직거래,202212
255527,강원도 원주시 시청로 255,84.784,2001,20,7,847,동보노빌리티1,23000,5,중개거래,202212
255528,강원도 원주시 시청로 267,118.747,2002,7,1,847,동보노빌리티2,24000,4,직거래,202212
