id,address,legal_code
608,부산광역시 동래구 명륜동,2626010700
609,부산광역시 동래구 온천동,2626010800
610,부산광역시 동래구 사직동,2626010900
611,부산광역시 남구,2629000000
612,부산광역시 남구 대연동,2629010600
613,부산광역시 남구 용호동,2629010700
614,부산광역시 남구 용당동,2629010800
615,부산광역시 남구 문현동,2629010900
616,부산광역시 남구 우암동,2629011000
617,부산광역시 남구 감만동,2629011100
618,부산광역시 북구,2632000000
619,부산광역시 북구 금곡동,2632010100
620,부산광역시 북구 화명동,2632010200
621,부산광역시 북구 만덕동,2632010300
622,부산광역시 북구 덕천동,2632010400
623,부산광역시 북구 구포동,2632010500
624,부산광역시 해운대구,2635000000
625,부산광역시 해운대구 반송동,2635010100
626,부산광역시 해운대구 석대동,2635010200
627,부산광역시 해운대구 반여동,2635010300
628,부산광역시 해운대구 재송동,2635010400
629,부산광역시 해운대구 우동,2635010500
630,부산광역시 해운대구 중동,2635010600
631,부산광역시 해운대구 좌동,2635010700
632,부산광역시 해운대구 송정동,2635010800
633,부산광역시 사하구,2638000000
634,부산광역시 사하구 괴정동,2638010100
635,부산광역시 사하구 당리동,2638010200
636,부산광역시 사하구 하단동,2638010300
637,부산광역시 사하구 신평동,2638010400
638,부산광역시 사하구 장림동,2638010500
639,부산광역시 사하구 다대동,2638010600
640,부산광역시 사하구 구평동,2638010700
641,부산광역시 사하구 감천동,2638010800
642,부산광역시 금정구,2641000000
643,부산광역시 금정구 두구동,2641010100
644,부산광역시 금정구 노포동,2641010200
645,부산광역시 금정구 청룡동,2641010300
646,부산광역시 금정구 남산동,2641010400
647,부산광역시 금정구 선동,2641010500
648,부산광역시 금정구 오륜동,2641010600
